"","species","BI"
"1","Acropora eurystoma",0.84
"2","Agaricia agaricites",0.22
"3","Agaricia humilis",0.395
"4","Agaricia lamarcki",0.08
"5","Coelastrea aspera",0.17
"6","Colpophyllia natans",0.54
"7","Cycloseris curvata",0.49
"8","Cyphastrea ocellina",0.13
"9","Dendrogyra cylindrus",1
"10","Dichocoenia stokesi",0.3
"11","Diploria labyrinthiformis",0.51
"12","Dipsastraea favus",0.43
"13","Echinopora gemmacea",0.37
"14","Eusmilia fastigiata",0.17
"15","Favia fragum",0.91
"16","Favites pentagona",0.25
"17","Galaxea astreata",0.85
"18","Galaxea fascicularis",0.26
"19","Gardineroseris planulata",0.03
"20","Heliofungia actiniformis",0
"21","Helioseris cucullata",0.486666666666667
"22","Hydnophora exesa",0.37
"23","Isophyllia rigida",1
"24","Isopora palifera",0.5
"25","Leptastrea purpurea",0
"26","Lobactis scutaria",0.3
"27","Madracis decactis",0.0366666666666667
"28","Madracis mirabilis",0.08
"29","Meandrina meandrites",0.41
"30","Montastraea cavernosa",0.64
"31","Montastrea complex",0.73
"32","Montipora capitata",0.39
"33","Montipora flabellata",0.34
"34","Montipora patula",0.42
"35","Montipora tuberculosa",0.88
"36","Mussa angulosa",1
"37","Mycetophyllia ferox",0
"38","Orbicella annularis",0.57
"39","Orbicella faveolata",0.52
"40","Pachyseris speciosa",0.71
"41","Pavona clavus",0.33
"42","Pavona gigantea",0.2
"43","Pavona varians",0.38
"44","Pectinia paeonia",0.68
"45","Physogyra lichtensteini",0.86
"46","Platygyra daedalea",0.21
"47","Platygyra ryukyuensis",1
"48","Pocillopora damicornis",0.5875
"49","Pocillopora elegans",0.33
"50","Pocillopora eydouxi",0.24
"51","Pocillopora inflata",0.96
"52","Pocillopora meandrina",0.42
"53","Pocillopora verrucosa",0.45
"54","Porites astreoides",0.0333333333333333
"55","Porites compressa",0.3
"56","Porites cylindrica",1
"57","Porites evermanni",0.38
"58","Porites hawaiiensis",0.03
"59","Porites lobata",0.28
"60","Porites lutea",0.205
"61","Porites nigrescens",0.76
"62","Porites panamensis",0.31
"63","Porites porites",0.38
"64","Porites rus",0
"65","Psammocora contigua",1
"66","Psammocora stellata",0.35
"67","Pseudodiploria clivosa",0.8
"68","Pseudodiploria strigosa",0.82
"69","Seriatopora hystrix",0.73
"70","Siderastrea radians",0.7
"71","Siderastrea siderea",0.31
"72","Stephanocoenia intersepta",0.153333333333333
"73","Stylophora pistillata",0.7
